"X","Y","Z"
1,1,0.0032876712
1,2,0.0050292398
1,3,0.0037064492
1,4,0.0040247678
1,5,0.0026134301
1,6,0.0045668016
1,7,0.0034249804
1,8,0.0038218623
1,9,0.0038547072
1,10,0.0034210526
1,11,0.0035697941
1,12,0.0045112782
1,13,0.0035087719
1,14,0.0041069888
1,15,0.0039376218
1,16,0.003803056
1,17,0.0026382412
1,18,0.0033528265
1,19,0.0030877193
1,20,0.003373494
1,21,0.0051174089
1,22,0.0033386497
1,23,0.0029804849
1,24,0.0044210526
1,25,0.0040398293
1,26,0.0030168204
1,27,0.0028764982
1,28,0.0038888889
1,29,0.0038390093
1,30,0.0036090226
1,31,0.0061473684
1,32,0.0036918383
1,33,0.0029473684
1,34,0.0036767976
1,35,0.0037894737
1,36,0.0034968778
1,37,0.0042406015
1,38,0.0044241037
1,39,0.004005848
1,40,0.0034423898
1,41,0.0035
1,42,0.0032216906
1,43,0.0027662179
1,44,0.0032068543
1,45,0.0041133603
1,46,0.0031879699
1,47,0.0035087719
1,48,0.0039318885
1,49,0.003498452
1,50,0.0030035088
1,51,0.0033001422
1,52,0.0048421053
1,53,0.0037052632
1,54,0.0034817814
1,55,0.0045065789
1,56,0.0032036613
1,57,0.0037268848
1,58,0.0041366574
1,59,0.0034085213
1,60,0.0037618637
1,61,0.0039802632
1,62,0.0032646834
1,63,0.0030541142
1,64,0.0043274854
1,65,0.0037426901
1,66,0.0044690674
1,67,0.003089542
1,68,0.0032781955
1,69,0.0036914203
1,70,0.0044657097
1,71,0.0028912281
1,72,0.003951417
1,73,0.0041016334
1,74,0.0032409972
1,75,0.0038486842
1,76,0.0040789474
1,77,0.0029473684
1,78,0.0037958533
1,79,0.0045263158
1,80,0.0038660287
1,81,0.0031578947
1,82,0.0036758563
1,83,0.0035682426
1,84,0.0034139403
1,85,0.0038763576
1,86,0.0032096635
1,87,0.0035789474
1,88,0.0037735849
1,89,0.0037816764
1,90,0.0033594625
1,91,0.0040890688
1,92,0.0043508772
1,93,0.0045240761
1,94,0.002922231
1,95,0.0049272116
1,96,0.0035682426
1,97,0.0035421888
1,98,0.0041647597
1,99,0.0034801289
1,100,0.0030075188
2,1,0.0027067669
2,2,0.003476874
2,3,0.0035488722
2,4,0.0029824561
2,5,0.0036332767
2,6,0.004353256
2,7,0.003733863
2,8,0.0032854864
2,9,0.0038334643
2,10,0.0036184211
2,11,0.0038496241
2,12,0.0045614035
2,13,0.0038999137
2,14,0.0030193906
2,15,0.0031978681
2,16,0.0033552632
2,17,0.0031430689
2,18,0.0033285917
2,19,0.0030691186
2,20,0.0033684211
2,21,0.0036613272
2,22,0.0037528604
2,23,0.0045840407
2,24,0.0027318296
2,25,0.0036602871
2,26,0.0029707602
2,27,0.0030041396
2,28,0.003491656
2,29,0.0031848853
2,30,0.0031294452
2,31,0.0036583261
2,32,0.0031024931
2,33,0.0031315789
2,34,0.0038011696
2,35,0.0047464115
2,36,0.0041447368
2,37,0.0036984353
2,38,0.0029904306
2,39,0.0037308461
2,40,0.0036491228
2,41,0.0030769231
2,42,0.0034423898
2,43,0.0034245614
2,44,0.0036842105
2,45,0.0049598573
2,46,0.0041781377
2,47,0.0028947368
2,48,0.0038326586
2,49,0.0036449332
2,50,0.0023684211
2,51,0.0035893011
2,52,0.005203575
2,53,0.003128655
2,54,0.0034085213
2,55,0.0041436926
2,56,0.0032262474
2,57,0.0029676601
2,58,0.0034539474
2,59,0.0049861496
2,60,0.0029801777
2,61,0.0031052632
2,62,0.0035725678
2,63,0.0038596491
2,64,0.0031978681
2,65,0.0034099333
2,66,0.0031411863
2,67,0.0027154844
2,68,0.0032
2,69,0.0049241748
2,70,0.0034586466
2,71,0.0043485764
